"DXXPOSTH.Code.or.Value","DXXPOSTH.Value.Description","DXXPOSTH.Count","DXXPOSTH.Cumulative","DXXPOSTH.Skip.to.Item"
"35.7 to 69.5","Range of Values",3195,3195,NA
".","Missing",513,3708,NA
