"DSQICALC.Code.or.Value","DSQICALC.Value.Description","DSQICALC.Count","DSQICALC.Cumulative","DSQICALC.Skip.to.Item"
"1 to 4000","Range of Values",3246,3246,NA
".","Missing",5871,9117,NA
