"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",393,393,""
"2","No",5178,5571,"DRD370F"
".","Missing",4379,9950,""
