"RFXT160.Code.or.Value","RFXT160.Value.Description","RFXT160.Count","RFXT160.Cumulative","RFXT160.Skip.to.Item"
"1397 to 1406","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
