"AUDTYR40.Code.or.Value","AUDTYR40.Value.Description","AUDTYR40.Count","AUDTYR40.Cumulative","AUDTYR40.Skip.to.Item"
"0 to 2.91","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
