"AUXLR225.Code.or.Value","AUXLR225.Value.Description","AUXLR225.Count","AUXLR225.Cumulative","AUXLR225.Skip.to.Item"
"-48 to 50","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
