"AUDTYL36.Code.or.Value","AUDTYL36.Value.Description","AUDTYL36.Count","AUDTYL36.Cumulative","AUDTYL36.Skip.to.Item"
"0 to 2.28","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
