"DXXL1A.Code.or.Value","DXXL1A.Value.Description","DXXL1A.Count","DXXL1A.Cumulative","DXXL1A.Skip.to.Item"
"5.86 to 21.11","Range of Values",6627,6627,NA
".","Missing",1558,8185,NA
