"URDMU5LC.Code.or.Value","URDMU5LC.Value.Description","URDMU5LC.Count","URDMU5LC.Cumulative","URDMU5LC.Skip.to.Item"
"0","At or above detection limit",2342,2342,NA
"1","Below lower detection limit",56,2398,NA
".","Missing",107,2505,NA
