"DRD370N.Code.or.Value","DRD370N.Value.Description","DRD370N.Count","DRD370N.Cumulative","DRD370N.Skip.to.Item"
"1","Yes",215,215,""
"2","No",4906,5121,"DRD370O"
".","Missing",4692,9813,""
