"WBXF011.Code.or.Value","WBXF011.Value.Description","WBXF011.Count","WBXF011.Cumulative","WBXF011.Skip.to.Item"
"458.502 to 458.502","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
