"URXOPP.Code.or.Value","URXOPP.Value.Description","URXOPP.Count","URXOPP.Cumulative","URXOPP.Skip.to.Item"
"0.14 to 7.4","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
