"RFXT026.Code.or.Value","RFXT026.Value.Description","RFXT026.Count","RFXT026.Cumulative","RFXT026.Skip.to.Item"
"212 to 221","Range of Values",33708,33708,NA
".","Missing",13,33721,NA
