"WBXP028.Code.or.Value","WBXP028.Value.Description","WBXP028.Count","WBXP028.Cumulative","WBXP028.Skip.to.Item"
"-59.9298 to 157.9474","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
