"WHD050.Code.or.Value","WHD050.Value.Description","WHD050.Count","WHD050.Cumulative","WHD050.Skip.to.Item"
"73 to 550","Range of Values",5987,5987,NA
"7777","Refused",6,5993,NA
"9999","Don't know",96,6089,NA
".","Missing",50,6139,NA
