"URDMNMLC.Code.or.Value","URDMNMLC.Value.Description","URDMNMLC.Count","URDMNMLC.Cumulative","URDMNMLC.Skip.to.Item"
"0","At or above the detection limit",1728,1728,NA
"1","Below lower detection limit",1021,2749,NA
".","Missing",70,2819,NA
