"SMQ078.Code.or.Value","SMQ078.Value.Description","SMQ078.Count","SMQ078.Cumulative","SMQ078.Skip.to.Item"
"1","Within 5 minutes",258,258,NA
"2","From 6 to 30 minutes",321,579,NA
"3","From more than 30 minutes to one hour",211,790,NA
"4","From more than 1 hour to 2 hours",103,893,NA
"5","From more than 2 hours to 3 hours",40,933,NA
"6","From more than 3 hours to 4 hours",21,954,NA
"7","More than 4 hours",45,999,NA
"77","Refused",0,999,NA
"99","Don't know",0,999,NA
".","Missing",6169,7168,NA
