"DLQ060.Code.or.Value","DLQ060.Value.Description","DLQ060.Count","DLQ060.Cumulative","DLQ060.Skip.to.Item"
"1","Yes",349,349,NA
"2","No",8222,8571,NA
"7","Refused",0,8571,NA
"9","Don't know",1,8572,NA
".","Missing",1003,9575,NA
