"OHQ571U.Code.or.Value","OHQ571U.Value.Description","OHQ571U.Count","OHQ571U.Cumulative","OHQ571U.Skip.to.Item"
"1","Month",40,40,NA
"2","Years",229,269,NA
".","Missing",9306,9575,NA
