"LBXVD3MS.Code.or.Value","LBXVD3MS.Value.Description","LBXVD3MS.Count","LBXVD3MS.Cumulative","LBXVD3MS.Skip.to.Item"
"5.7 to 260","Range of Values",8701,8701,NA
".","Missing",1134,9835,NA
