"URXPRO.Code.or.Value","URXPRO.Value.Description","URXPRO.Count","URXPRO.Cumulative","URXPRO.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2461,2461,NA
".","Missing",295,2756,NA
