"DS1IFIBE.Code.or.Value","DS1IFIBE.Value.Description","DS1IFIBE.Count","DS1IFIBE.Cumulative","DS1IFIBE.Skip.to.Item"
"0.25 to 12","Range of Values",131,131,NA
".","Missing",5775,5906,NA
