"VTQ270B.Code.or.Value","VTQ270B.Value.Description","VTQ270B.Count","VTQ270B.Cumulative","VTQ270B.Skip.to.Item"
"1 to 99","Range of Values",2119,2119,NA
"777","Refused",0,2119,NA
"999","Don't know",0,2119,NA
".","Missing",1175,3294,NA
