"AUXTPVR.Code.or.Value","AUXTPVR.Value.Description","AUXTPVR.Count","AUXTPVR.Cumulative","AUXTPVR.Skip.to.Item"
"0.2 to 5.9","Range of Values",1671,1671,NA
"777","Refused",3,1674,NA
"888","Could not obtain",0,1674,NA
".","Missing",133,1807,NA
