"TYXP247.Code.or.Value","TYXP247.Value.Description","TYXP247.Count","TYXP247.Cumulative","TYXP247.Skip.to.Item"
"-296 to -25","Range of Values",154,154,NA
".","Missing",8315,8469,NA
