"DRQSPREP.Code.or.Value","DRQSPREP.Value.Description","DRQSPREP.Count","DRQSPREP.Cumulative","DRQSPREP.Skip.to.Item"
"1","Never",523,523,NA
"2","Rarely",1493,2016,NA
"3","Occasionally",2875,4891,NA
"4","Very Often",3567,8458,NA
"9","Don't know",158,8616,NA
".","Missing",928,9544,NA
