"LBDF08LC.Code.or.Value","LBDF08LC.Value.Description","LBDF08LC.Count","LBDF08LC.Cumulative","LBDF08LC.Skip.to.Item"
"0","At or above the detection limit",246,246,NA
"1","Below lower detection limit",0,246,NA
".","Missing",18,264,NA
