"WHQ520.Code.or.Value","WHQ520.Value.Description","WHQ520.Count","WHQ520.Cumulative","WHQ520.Skip.to.Item"
"1","never,",665,665,NA
"2","sometimes, or",573,1238,NA
"3","a lot?",141,1379,NA
"7","Refused",0,1379,NA
"9","Don't know",1,1380,NA
".","Missing",88,1468,NA
