"AUXLR259.Code.or.Value","AUXLR259.Value.Description","AUXLR259.Count","AUXLR259.Cumulative","AUXLR259.Skip.to.Item"
"-21 to 78","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
