"TYXP135.Code.or.Value","TYXP135.Value.Description","TYXP135.Count","TYXP135.Cumulative","TYXP135.Skip.to.Item"
"-299 to 31","Range of Values",7896,7896,NA
".","Missing",573,8469,NA
