"DXXLAFAT.Code.or.Value","DXXLAFAT.Value.Description","DXXLAFAT.Count","DXXLAFAT.Cumulative","DXXLAFAT.Skip.to.Item"
"169.4 to 7409.4","Range of Values",4985,4985,NA
".","Missing",795,5780,NA
