"BAXFTC41.Code.or.Value","BAXFTC41.Value.Description","BAXFTC41.Count","BAXFTC41.Cumulative","BAXFTC41.Skip.to.Item"
"1 to 29","Range of Values",1289,1289,NA
".","Missing",1895,3184,NA
