"MCQ240u.Code.or.Value","MCQ240u.Value.Description","MCQ240u.Count","MCQ240u.Cumulative","MCQ240u.Skip.to.Item"
"32 to 79","Range of Values",81,81,NA
"80","80 years or older",7,88,NA
"77777","Refused",0,88,NA
"99999","Don't know",0,88,NA
".","Missing",9276,9364,NA
