"OHQ490e.Code.or.Value","OHQ490e.Value.Description","OHQ490e.Count","OHQ490e.Cumulative","OHQ490e.Skip.to.Item"
"1","Checked",393,393,NA
"77","Refused",0,393,NA
"99","Don't know",8,401,NA
".","Missing",8446,8847,NA
