"URXUSR.Code.or.Value","URXUSR.Value.Description","URXUSR.Count","URXUSR.Cumulative","URXUSR.Skip.to.Item"
"1.768 to 3217.83","Range of Values",2503,2503,NA
".","Missing",91,2594,NA
