"LBD087LC.Code.or.Value","LBD087LC.Value.Description","LBD087LC.Count","LBD087LC.Cumulative","LBD087LC.Skip.to.Item"
"0","detectable result",8,8,NA
"1","below detectable limit",2290,2298,NA
".","Missing",249,2547,NA
