"DRD350AQ.Code.or.Value","DRD350AQ.Value.Description","DRD350AQ.Count","DRD350AQ.Cumulative","DRD350AQ.Skip.to.Item"
"1 to 20","Range of Values",437,437,NA
".","Missing",8901,9338,NA
