"KID028.Code.or.Value","KID028.Value.Description","KID028.Count","KID028.Cumulative","KID028.Skip.to.Item"
"0 to 80","Range of Values",528,528,NA
"777","Refused",0,528,NA
"999","Don't know",11,539,NA
".","Missing",5396,5935,NA
