"DR1IFA.Code.or.Value","DR1IFA.Value.Description","DR1IFA.Count","DR1IFA.Cumulative","DR1IFA.Skip.to.Item"
"0 to 3525","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
