"AUXU2KL.Code.or.Value","AUXU2KL.Value.Description","AUXU2KL.Count","AUXU2KL.Cumulative","AUXU2KL.Skip.to.Item"
"-10 to 115","Range of Values",2733,2733,NA
"666","No response",0,2733,NA
"888","Could not obtain",14,2747,NA
".","Missing",287,3034,NA
