"FSQ012.Code.or.Value","FSQ012.Value.Description","FSQ012.Count","FSQ012.Cumulative","FSQ012.Skip.to.Item"
"1","Yes",2562,2562,""
"2","No",1517,4079,"FSD855"
"7","Refused",2,4081,"FSD855"
"9","Don't know",19,4100,"FSD855"
".","Missing",5154,9254,""
