"DR2IS100.Code.or.Value","DR2IS100.Value.Description","DR2IS100.Count","DR2IS100.Cumulative","DR2IS100.Skip.to.Item"
"0 to 3.7","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
