"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"53 to 81","Range of Values",6363,6363,NA
"7777","Refused",2,6365,NA
"9999","Don't know",80,6445,NA
".","Missing",101,6546,NA
