"AUQ130.Code.or.Value","AUQ130.Value.Description","AUQ130.Count","AUQ130.Cumulative","AUQ130.Skip.to.Item"
"1","Good",7901,7901,NA
"2","Little trouble",1295,9196,NA
"3","Lot of trouble",260,9456,NA
"4","Deaf",22,9478,NA
"7","Refused",3,9481,NA
"9","Don't know",6,9487,NA
".","Missing",6,9493,NA
