"DBD072A.Code.or.Value","DBD072A.Value.Description","DBD072A.Count","DBD072A.Cumulative","DBD072A.Skip.to.Item"
"10","Whole or regular milk",1265,1265,NA
"77","Refused",0,1265,NA
"99","Don't know",10,1275,NA
".","Missing",9073,10348,NA
