"URXPHE.Code.or.Value","URXPHE.Value.Description","URXPHE.Count","URXPHE.Cumulative","URXPHE.Skip.to.Item"
"0.495 to 48.6","Range of Values",2947,2947,NA
".","Missing",332,3279,NA
