"URDUSNLC.Code.or.Value","URDUSNLC.Value.Description","URDUSNLC.Count","URDUSNLC.Cumulative","URDUSNLC.Skip.to.Item"
"0","At or above the detection limit",2227,2227,NA
"1","Below lower detection limit",145,2372,NA
".","Missing",90,2462,NA
