"WTSCI06.Code.or.Value","WTSCI06.Value.Description","WTSCI06.Count","WTSCI06.Cumulative","WTSCI06.Skip.to.Item"
"0 to 465286.83757","Range of Values",727,727,NA
".","Missing",51,778,NA
