"LBC187LA.Code.or.Value","LBC187LA.Value.Description","LBC187LA.Count","LBC187LA.Cumulative","LBC187LA.Skip.to.Item"
"0.1414 to 73.33","Range of Values",260,260,NA
".","Missing",5,265,NA
