"WTSAU42.Code.or.Value","WTSAU42.Value.Description","WTSAU42.Count","WTSAU42.Cumulative","WTSAU42.Skip.to.Item"
"0 to 483312.42317","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
