"LBDLDLSI.Code.or.Value","LBDLDLSI.Value.Description","LBDLDLSI.Count","LBDLDLSI.Cumulative","LBDLDLSI.Skip.to.Item"
"0.336 to 6.879","Range of Values",3308,3308,NA
".","Missing",273,3581,NA
