"RHQ162.Code.or.Value","RHQ162.Value.Description","RHQ162.Count","RHQ162.Cumulative","RHQ162.Skip.to.Item"
"1","Yes",146,146,""
"2","No",2141,2287,"RHQ165"
"3","Borderline",21,2308,"RHQ165"
"7","Refused",0,2308,"RHQ165"
"9","Don't know",5,2313,"RHQ165"
".","Missing",1171,3484,""
