"WTIREP15.Code.or.Value","WTIREP15.Value.Description","WTIREP15.Count","WTIREP15.Cumulative","WTIREP15.Skip.to.Item"
"0 to 241151.11465","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
