"AUXRR233.Code.or.Value","AUXRR233.Value.Description","AUXRR233.Count","AUXRR233.Cumulative","AUXRR233.Skip.to.Item"
"-32 to 99","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
