"BIXS100K.Code.or.Value","BIXS100K.Value.Description","BIXS100K.Count","BIXS100K.Cumulative","BIXS100K.Skip.to.Item"
"218.04 to 900.52","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
