"CIQG20.Code.or.Value","CIQG20.Value.Description","CIQG20.Count","CIQG20.Cumulative","CIQG20.Skip.to.Item"
"9 to 38","Range of Values",65,65,NA
"77","Refused",0,65,NA
"99","Don't know",0,65,NA
".","Missing",863,928,NA
