"SMD100CO.Code.or.Value","SMD100CO.Value.Description","SMD100CO.Count","SMD100CO.Cumulative","SMD100CO.Skip.to.Item"
"1 to 20","Range of Values",954,954,NA
".","Missing",4087,5041,NA
