"RDQ040.Code.or.Value","RDQ040.Value.Description","RDQ040.Count","RDQ040.Cumulative","RDQ040.Skip.to.Item"
"1 to 71","Range of Values",347,347,NA
"77777","Refused",0,347,NA
"99999","Don't know",17,364,NA
".","Missing",9129,9493,NA
