"OSQ010a.Code.or.Value","OSQ010a.Value.Description","OSQ010a.Count","OSQ010a.Cumulative","OSQ010a.Skip.to.Item"
"1","Yes",90,90,"OSQ020a"
"2","No",4946,5036,""
"7","Refused",0,5036,""
"9","Don't know",4,5040,""
".","Missing",1,5041,""
