"RFXC003.Code.or.Value","RFXC003.Value.Description","RFXC003.Count","RFXC003.Cumulative","RFXC003.Skip.to.Item"
"-3.519 to 3.043","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
