"URXUIO.Code.or.Value","URXUIO.Value.Description","URXUIO.Count","URXUIO.Cumulative","URXUIO.Skip.to.Item"
"6 to 136161","Range of Values",2837,2837,NA
".","Missing",105,2942,NA
