"DRD370PQ.Code.or.Value","DRD370PQ.Value.Description","DRD370PQ.Count","DRD370PQ.Cumulative","DRD370PQ.Skip.to.Item"
"1 to 5","Range of Values",17,17,NA
".","Missing",9321,9338,NA
