"CBD715.Code.or.Value","CBD715.Value.Description","CBD715.Count","CBD715.Cumulative","CBD715.Skip.to.Item"
"1","Always",614,614,NA
"2","Most of the time",477,1091,NA
"3","Sometimes",592,1683,NA
"4","Rarely",195,1878,NA
"5","Never",126,2004,NA
"6","Never buy these items",8,2012,NA
"7","Refused",0,2012,NA
"9","Don't know",1,2013,NA
".","Missing",856,2869,NA
