"CBD730.Code.or.Value","CBD730.Value.Description","CBD730.Count","CBD730.Cumulative","CBD730.Skip.to.Item"
"1","Always",1003,1003,NA
"2","Most of the time",871,1874,NA
"3","Sometimes",1088,2962,NA
"4","Rarely",714,3676,NA
"5","Never",600,4276,NA
"6","Never buy these items",437,4713,NA
"7","Refused",0,4713,NA
"9","Don't know",11,4724,NA
".","Missing",1675,6399,NA
